TICKER,DATE,Price_Open,Price_Close,Price_High,Price_Low,Volume
AAPL,2022-01-03 05:00:00+00:00,177.83,182.01,182.88,177.71,112486091.0
AAPL,2022-01-04 05:00:00+00:00,182.64,179.7,182.94,179.12,106090378.0
AAPL,2022-01-05 05:00:00+00:00,179.61,174.92,180.17,174.64,95142198.0
AAPL,2022-01-06 05:00:00+00:00,172.7,172.0,175.3,171.64,103899632.0
AAPL,2022-01-07 05:00:00+00:00,172.89,172.17,174.14,171.03,94554334.0
AAPL,2022-01-10 05:00:00+00:00,169.08,172.19,172.5,168.17,117005143.0
AAPL,2022-01-11 05:00:00+00:00,172.32,175.08,175.18,170.82,82100070.0
AAPL,2022-01-12 05:00:00+00:00,176.12,175.53,177.18,174.82,79502421.0
AAPL,2022-01-13 05:00:00+00:00,175.79,172.19,176.62,171.79,92057866.0
AAPL,2022-01-14 05:00:00+00:00,171.34,173.07,173.78,171.09,87780214.0
AAPL,2022-01-18 05:00:00+00:00,171.51,169.8,172.54,169.405,102183802.0
AAPL,2022-01-19 05:00:00+00:00,170.0,166.23,171.08,165.94,101688620.0
AAPL,2022-01-20 05:00:00+00:00,166.98,164.51,169.68,164.18,96630645.0
AAPL,2022-01-21 05:00:00+00:00,164.415,162.41,166.33,162.3,135494794.0
AAPL,2022-01-24 05:00:00+00:00,160.02,161.62,162.3,154.7,175317276.0
AAPL,2022-01-25 05:00:00+00:00,158.98,159.78,162.76,157.02,125389277.0
AAPL,2022-01-26 05:00:00+00:00,163.5,159.69,164.3894,157.82,116338085.0
AAPL,2022-01-27 05:00:00+00:00,162.45,159.22,163.84,158.28,127009128.0
AAPL,2022-01-28 05:00:00+00:00,165.71,170.33,170.35,162.8,189144340.0
AAPL,2022-01-31 05:00:00+00:00,170.16,174.78,175.0,169.51,129780591.0
AAPL,2022-02-01 05:00:00+00:00,174.01,174.61,174.84,172.31,93258667.0
AAPL,2022-02-02 05:00:00+00:00,174.745,175.84,175.88,173.33,91306986.0
AAPL,2022-02-03 05:00:00+00:00,174.48,172.9,176.2399,172.12,101382628.0
AAPL,2022-02-04 05:00:00+00:00,171.68,172.39,174.1,170.68,88456689.0
AAPL,2022-02-07 05:00:00+00:00,172.86,171.66,173.9458,170.95,83181695.0
AAPL,2022-02-08 05:00:00+00:00,171.73,174.83,175.35,171.43,80979959.0
AAPL,2022-02-09 05:00:00+00:00,176.05,176.28,176.65,174.9,78287149.0
AAPL,2022-02-10 05:00:00+00:00,174.14,172.12,175.48,171.55,99694816.0
AAPL,2022-02-11 05:00:00+00:00,172.33,168.64,173.08,168.04,106268657.0
AAPL,2022-02-14 05:00:00+00:00,167.37,168.88,169.58,166.56,98885501.0
AAPL,2022-02-15 05:00:00+00:00,170.97,172.79,172.95,170.25,71066887.0
AAPL,2022-02-16 05:00:00+00:00,171.85,172.55,173.34,170.05,66147855.0
AAPL,2022-02-17 05:00:00+00:00,171.03,168.88,171.91,168.47,78321659.0
AAPL,2022-02-18 05:00:00+00:00,169.82,167.3,170.5413,166.19,92631965.0
AAPL,2022-02-22 05:00:00+00:00,164.98,164.32,166.69,162.15,98811382.0
AAPL,2022-02-23 05:00:00+00:00,165.54,160.24,166.15,159.75,98884474.0
AAPL,2022-02-24 05:00:00+00:00,152.58,162.51,162.85,152.0,155570846.0
AAPL,2022-02-25 05:00:00+00:00,163.84,164.85,165.12,160.8738,97758401.0
AAPL,2022-02-28 05:00:00+00:00,163.06,165.12,165.42,162.43,108908921.0
AAPL,2022-03-01 05:00:00+00:00,164.695,163.2,166.6,161.97,90604732.0
AAPL,2022-03-02 05:00:00+00:00,164.39,166.56,167.36,162.95,88692844.0
AAPL,2022-03-03 05:00:00+00:00,168.47,166.23,168.91,165.55,82418843.0
AAPL,2022-03-04 05:00:00+00:00,164.49,163.17,165.55,162.1,91169381.0
AAPL,2022-03-07 05:00:00+00:00,163.36,159.3,165.02,159.04,107385155.0
AAPL,2022-03-08 05:00:00+00:00,158.82,157.44,162.88,155.8,140524583.0
AAPL,2022-03-09 05:00:00+00:00,161.475,162.95,163.41,159.41,100505467.0
AAPL,2022-03-10 05:00:00+00:00,160.2,158.52,160.39,155.98,114471979.0
AAPL,2022-03-11 05:00:00+00:00,158.93,154.73,159.28,154.5,105127762.0
AAPL,2022-03-14 04:00:00+00:00,151.45,150.62,154.12,150.1,118311989.0
AAPL,2022-03-15 04:00:00+00:00,150.9,155.09,155.57,150.38,104410428.0
AAPL,2022-03-16 04:00:00+00:00,157.05,159.59,160.0,154.46,112719986.0
AAPL,2022-03-17 04:00:00+00:00,158.61,160.62,161.0,157.63,85152570.0
AAPL,2022-03-18 04:00:00+00:00,160.51,163.98,164.48,159.76,159428842.0
AAPL,2022-03-21 04:00:00+00:00,163.51,165.38,166.35,163.015,105787821.0
AAPL,2022-03-22 04:00:00+00:00,165.51,168.82,169.42,164.91,89161727.0
AAPL,2022-03-23 04:00:00+00:00,167.99,170.21,172.64,167.65,106073373.0
AAPL,2022-03-24 04:00:00+00:00,171.06,174.07,174.14,170.21,97014668.0
AAPL,2022-03-25 04:00:00+00:00,173.88,174.72,175.28,172.75,85692924.0
AAPL,2022-03-28 04:00:00+00:00,172.17,175.6,175.73,172.0,97532618.0
AAPL,2022-03-29 04:00:00+00:00,176.69,178.96,179.01,176.34,109295753.0
AAPL,2022-03-30 04:00:00+00:00,178.55,177.77,179.61,176.7,100735340.0
AAPL,2022-03-31 04:00:00+00:00,177.84,174.61,178.03,174.4,120024146.0
AAPL,2022-04-01 04:00:00+00:00,174.03,174.31,174.88,171.94,85355694.0
AAPL,2022-04-04 04:00:00+00:00,174.57,178.44,178.49,174.44,82875862.0
AAPL,2022-04-05 04:00:00+00:00,177.5,175.06,178.3,174.415,79568643.0
AAPL,2022-04-06 04:00:00+00:00,172.36,171.83,173.63,170.13,90320928.0
AAPL,2022-04-07 04:00:00+00:00,171.16,172.14,173.36,169.85,78193123.0
AAPL,2022-04-08 04:00:00+00:00,171.78,170.09,171.78,169.2,82763655.0
AAPL,2022-04-11 04:00:00+00:00,168.71,165.75,169.03,165.5,73137070.0
AAPL,2022-04-12 04:00:00+00:00,168.02,167.66,169.87,166.64,83662778.0
AAPL,2022-04-13 04:00:00+00:00,167.39,170.4,171.04,166.77,76146104.0
AAPL,2022-04-14 04:00:00+00:00,170.62,165.29,171.27,165.04,84603285.0
AAPL,2022-04-18 04:00:00+00:00,163.92,165.07,166.5984,163.57,74493604.0
AAPL,2022-04-19 04:00:00+00:00,165.02,167.4,167.82,163.91,75240221.0
AAPL,2022-04-20 04:00:00+00:00,168.76,167.23,168.88,166.1,73954306.0
AAPL,2022-04-21 04:00:00+00:00,168.91,166.42,171.53,165.91,93153701.0
AAPL,2022-04-22 04:00:00+00:00,166.46,161.79,167.8699,161.5,93535037.0
AAPL,2022-04-25 04:00:00+00:00,161.12,162.88,163.17,158.46,103208936.0
AAPL,2022-04-26 04:00:00+00:00,162.25,156.8,162.34,156.72,103931474.0
AAPL,2022-04-27 04:00:00+00:00,155.91,156.57,159.79,155.38,93914037.0
AAPL,2022-04-28 04:00:00+00:00,159.25,163.64,164.515,158.93,137705209.0
AAPL,2022-04-29 04:00:00+00:00,161.84,157.65,166.2,157.25,145654913.0
AAPL,2022-05-02 04:00:00+00:00,156.71,157.96,158.23,153.27,131337354.0
AAPL,2022-05-03 04:00:00+00:00,158.15,159.48,160.71,156.32,93684416.0
AAPL,2022-05-04 04:00:00+00:00,159.67,166.02,166.48,159.26,114719225.0
AAPL,2022-05-05 04:00:00+00:00,163.85,156.77,164.08,154.95,142675572.0
AAPL,2022-05-06 04:00:00+00:00,156.01,157.28,159.44,154.18,123877861.0
AAPL,2022-05-09 04:00:00+00:00,154.925,152.06,155.83,151.49,132603947.0
AAPL,2022-05-10 04:00:00+00:00,155.52,154.51,156.74,152.93,124055409.0
AAPL,2022-05-11 04:00:00+00:00,153.5,146.5,155.45,145.81,151719835.0
AAPL,2022-05-12 04:00:00+00:00,142.77,142.56,146.2,138.8,192047663.0
AAPL,2022-05-13 04:00:00+00:00,144.59,147.11,148.105,143.11,114797304.0
AAPL,2022-05-16 04:00:00+00:00,145.55,145.54,147.5199,144.18,91824708.0
AAPL,2022-05-17 04:00:00+00:00,148.86,149.24,149.77,146.68,79304491.0
AAPL,2022-05-18 04:00:00+00:00,146.85,140.82,147.3601,139.9,121266806.0
AAPL,2022-05-19 04:00:00+00:00,139.88,137.35,141.66,136.6,142802096.0
AAPL,2022-05-20 04:00:00+00:00,139.09,137.59,140.7,132.61,147016057.0
AAPL,2022-05-23 04:00:00+00:00,137.79,143.11,143.26,137.65,125077087.0
AAPL,2022-05-24 04:00:00+00:00,140.805,140.36,141.97,137.33,109813351.0
AAPL,2022-05-25 04:00:00+00:00,138.43,140.52,141.785,138.34,99358798.0
AAPL,2022-05-26 04:00:00+00:00,137.39,143.78,144.34,137.14,99878236.0
AAPL,2022-05-27 04:00:00+00:00,145.39,149.64,149.68,145.26,100950098.0
AAPL,2022-05-31 04:00:00+00:00,149.07,148.84,150.66,146.84,121269886.0
AAPL,2022-06-01 04:00:00+00:00,149.9,148.71,151.74,147.68,78943522.0
AAPL,2022-06-02 04:00:00+00:00,147.83,151.21,151.27,146.86,78517901.0
AAPL,2022-06-03 04:00:00+00:00,146.9,145.38,147.97,144.46,94319460.0
AAPL,2022-06-06 04:00:00+00:00,147.03,146.14,148.5689,144.9,74857319.0
AAPL,2022-06-07 04:00:00+00:00,144.345,148.71,149.0,144.1,73477251.0
AAPL,2022-06-08 04:00:00+00:00,148.58,147.96,149.8697,147.46,58484475.0
AAPL,2022-06-09 04:00:00+00:00,147.08,142.64,147.95,142.53,75612751.0
AAPL,2022-06-10 04:00:00+00:00,140.28,137.13,140.76,137.06,101534275.0
AAPL,2022-06-13 04:00:00+00:00,132.87,131.88,135.2,131.44,135261516.0
AAPL,2022-06-14 04:00:00+00:00,133.13,132.76,133.89,131.48,92179405.0
AAPL,2022-06-15 04:00:00+00:00,134.29,135.43,137.34,132.16,101304819.0
AAPL,2022-06-16 04:00:00+00:00,132.08,130.06,132.39,129.04,120184627.0
AAPL,2022-06-17 04:00:00+00:00,130.065,131.56,133.079,129.81,168771047.0
AAPL,2022-06-21 04:00:00+00:00,133.42,135.87,137.06,133.32,91630121.0
AAPL,2022-06-22 04:00:00+00:00,134.79,135.35,137.76,133.91,80880070.0
AAPL,2022-06-23 04:00:00+00:00,136.82,138.27,138.59,135.63,77932990.0
AAPL,2022-06-24 04:00:00+00:00,139.9,141.66,141.91,139.77,110368722.0
AAPL,2022-06-27 04:00:00+00:00,142.695,141.66,143.49,140.965,77728499.0
AAPL,2022-06-28 04:00:00+00:00,142.13,137.44,143.422,137.325,76133876.0
AAPL,2022-06-29 04:00:00+00:00,137.46,139.23,140.67,136.67,71179247.0
AAPL,2022-06-30 04:00:00+00:00,137.25,136.72,138.37,133.7737,114697715.0
AAPL,2022-07-01 04:00:00+00:00,136.04,138.93,139.04,135.66,77594243.0
AAPL,2022-07-05 04:00:00+00:00,137.77,141.56,141.61,136.93,79904746.0
AAPL,2022-07-06 04:00:00+00:00,141.355,142.92,144.12,141.08,78938366.0
AAPL,2022-07-07 04:00:00+00:00,143.29,146.35,146.55,143.28,72731949.0
AAPL,2022-07-08 04:00:00+00:00,145.265,147.04,147.55,145.0,68264699.0
AAPL,2022-07-11 04:00:00+00:00,145.67,144.87,146.64,143.78,69704810.0
AAPL,2022-07-12 04:00:00+00:00,145.76,145.86,148.45,145.05,84620032.0
AAPL,2022-07-13 04:00:00+00:00,142.99,145.49,146.45,142.1201,77731553.0
AAPL,2022-07-14 04:00:00+00:00,144.08,148.47,148.95,143.25,83018114.0
AAPL,2022-07-15 04:00:00+00:00,149.78,150.17,150.86,148.2,86944893.0
AAPL,2022-07-18 04:00:00+00:00,150.74,147.07,151.57,146.7,87239346.0
AAPL,2022-07-19 04:00:00+00:00,147.92,151.0,151.23,146.91,93332247.0
AAPL,2022-07-20 04:00:00+00:00,151.12,153.04,153.72,150.37,70872515.0
AAPL,2022-07-21 04:00:00+00:00,154.5,155.35,155.57,151.94,70606217.0
AAPL,2022-07-22 04:00:00+00:00,155.39,154.09,156.28,153.41,72318038.0
AAPL,2022-07-25 04:00:00+00:00,154.01,152.95,155.04,152.28,57738116.0
AAPL,2022-07-26 04:00:00+00:00,152.265,151.6,153.085,150.8,60764637.0
AAPL,2022-07-27 04:00:00+00:00,152.58,156.79,157.33,152.16,89223566.0
AAPL,2022-07-28 04:00:00+00:00,156.98,157.35,157.64,154.41,86806681.0
AAPL,2022-07-29 04:00:00+00:00,161.24,162.51,163.63,159.5,114785404.0
AAPL,2022-08-01 04:00:00+00:00,161.01,161.51,163.59,160.89,73670876.0
AAPL,2022-08-02 04:00:00+00:00,160.1,160.01,162.41,159.63,63962594.0
AAPL,2022-08-03 04:00:00+00:00,160.84,166.13,166.59,160.75,90300252.0
AAPL,2022-08-04 04:00:00+00:00,166.005,165.81,167.19,164.43,59549979.0
AAPL,2022-08-05 04:00:00+00:00,163.21,165.35,165.85,163.0,61905528.0
AAPL,2022-08-08 04:00:00+00:00,166.37,164.87,167.81,164.2,63810659.0
AAPL,2022-08-09 04:00:00+00:00,164.02,164.92,165.82,163.25,70056143.0
AAPL,2022-08-10 04:00:00+00:00,167.68,169.24,169.34,166.9,77906820.0
AAPL,2022-08-11 04:00:00+00:00,170.06,168.49,170.99,168.19,61943923.0
AAPL,2022-08-12 04:00:00+00:00,169.82,172.1,172.17,169.4,75555239.0
AAPL,2022-08-15 04:00:00+00:00,171.52,173.19,173.39,171.345,58741635.0
AAPL,2022-08-16 04:00:00+00:00,172.78,173.03,173.71,171.6618,60575237.0
AAPL,2022-08-17 04:00:00+00:00,172.77,174.55,176.15,172.57,84217231.0
AAPL,2022-08-18 04:00:00+00:00,173.75,174.15,174.9,173.12,66756106.0
AAPL,2022-08-19 04:00:00+00:00,173.03,171.52,173.74,171.3101,79638699.0
AAPL,2022-08-22 04:00:00+00:00,169.69,167.57,169.86,167.135,76355924.0
AAPL,2022-08-23 04:00:00+00:00,167.08,167.23,168.71,166.65,58090092.0
AAPL,2022-08-24 04:00:00+00:00,167.32,167.53,168.11,166.245,58542963.0
AAPL,2022-08-25 04:00:00+00:00,168.78,170.03,170.14,168.35,56573006.0
AAPL,2022-08-26 04:00:00+00:00,170.57,163.62,171.05,163.56,90147274.0
AAPL,2022-08-29 04:00:00+00:00,161.145,161.38,162.9,159.82,78255530.0
AAPL,2022-08-30 04:00:00+00:00,162.13,158.91,162.56,157.72,82758508.0
AAPL,2022-08-31 04:00:00+00:00,160.305,157.22,160.58,157.14,104165447.0
AAPL,2022-09-01 04:00:00+00:00,156.64,157.96,158.42,154.67,79346064.0
AAPL,2022-09-02 04:00:00+00:00,159.75,155.81,160.362,154.965,83452944.0
AAPL,2022-09-06 04:00:00+00:00,156.47,154.53,157.09,153.69,78705759.0
AAPL,2022-09-07 04:00:00+00:00,154.825,155.96,156.67,153.61,94015457.0
AAPL,2022-09-08 04:00:00+00:00,154.64,154.46,156.36,152.68,91449721.0
AAPL,2022-09-09 04:00:00+00:00,155.47,157.37,157.82,154.75,74228109.0
AAPL,2022-09-12 04:00:00+00:00,159.59,163.43,164.26,159.3,112676884.0
AAPL,2022-09-13 04:00:00+00:00,159.9,153.84,160.54,153.37,135428401.0
AAPL,2022-09-14 04:00:00+00:00,154.785,155.31,157.1,153.6106,95004894.0
AAPL,2022-09-15 04:00:00+00:00,154.65,152.37,155.24,151.38,97514431.0
AAPL,2022-09-16 04:00:00+00:00,151.21,150.7,151.35,148.37,218997344.0
AAPL,2022-09-19 04:00:00+00:00,149.31,154.48,154.56,149.1,87533890.0
AAPL,2022-09-20 04:00:00+00:00,153.4,156.9,158.08,153.08,113203270.0
AAPL,2022-09-21 04:00:00+00:00,157.34,153.72,158.74,153.6,107498655.0
AAPL,2022-09-22 04:00:00+00:00,152.38,152.74,154.47,150.91,92021722.0
AAPL,2022-09-23 04:00:00+00:00,151.19,150.43,151.47,148.56,101813197.0
AAPL,2022-09-26 04:00:00+00:00,149.66,150.77,153.7701,149.64,100616414.0
AAPL,2022-09-27 04:00:00+00:00,152.74,151.76,154.72,149.945,91032702.0
AAPL,2022-09-28 04:00:00+00:00,147.64,149.84,150.6414,144.84,155823686.0
AAPL,2022-09-29 04:00:00+00:00,146.1,142.48,146.72,140.68,137415955.0
AAPL,2022-09-30 04:00:00+00:00,141.28,138.2,143.1,138.0,141390692.0
AAPL,2022-10-03 04:00:00+00:00,138.21,142.45,143.07,137.685,124534891.0
AAPL,2022-10-04 04:00:00+00:00,145.03,146.1,146.22,144.26,96785630.0
AAPL,2022-10-05 04:00:00+00:00,144.075,146.4,147.38,143.01,83933253.0
AAPL,2022-10-06 04:00:00+00:00,145.81,145.43,147.54,145.22,72586982.0
AAPL,2022-10-07 04:00:00+00:00,142.54,140.09,143.1,139.445,95901316.0
AAPL,2022-10-10 04:00:00+00:00,140.42,140.42,141.89,138.5729,80719147.0
AAPL,2022-10-11 04:00:00+00:00,139.9,138.98,141.35,138.22,82627051.0
AAPL,2022-10-12 04:00:00+00:00,139.13,138.34,140.36,138.16,76229576.0
AAPL,2022-10-13 04:00:00+00:00,134.99,142.99,143.59,134.37,121491577.0
AAPL,2022-10-14 04:00:00+00:00,144.31,138.38,144.52,138.19,97254054.0
AAPL,2022-10-17 04:00:00+00:00,141.065,142.41,142.9,140.27,94281241.0
AAPL,2022-10-18 04:00:00+00:00,145.49,143.75,146.7,140.61,103909236.0
AAPL,2022-10-19 04:00:00+00:00,141.69,143.86,144.9492,141.5,66281889.0
AAPL,2022-10-20 04:00:00+00:00,143.02,143.39,145.89,142.65,70436249.0
AAPL,2022-10-21 04:00:00+00:00,142.87,147.27,147.8479,142.649,97497286.0
AAPL,2022-10-24 04:00:00+00:00,147.185,149.45,150.23,146.0,82543225.0
AAPL,2022-10-25 04:00:00+00:00,150.09,152.34,152.49,149.36,82217447.0
AAPL,2022-10-26 04:00:00+00:00,150.96,149.35,151.99,148.04,96231685.0
AAPL,2022-10-27 04:00:00+00:00,148.07,144.8,149.046,144.13,116248070.0
AAPL,2022-10-28 04:00:00+00:00,148.2,155.74,157.5,147.82,174641131.0
AAPL,2022-10-31 04:00:00+00:00,153.155,153.34,154.24,151.92,110376310.0
AAPL,2022-11-01 04:00:00+00:00,155.08,150.65,155.45,149.13,85451780.0
AAPL,2022-11-02 04:00:00+00:00,148.945,145.03,152.17,145.0,101743648.0
AAPL,2022-11-03 04:00:00+00:00,142.06,138.88,142.8,138.75,105214797.0
AAPL,2022-11-04 04:00:00+00:00,142.09,138.38,142.67,134.38,149550241.0
AAPL,2022-11-07 05:00:00+00:00,137.11,138.92,139.145,135.671,89935797.0
AAPL,2022-11-08 05:00:00+00:00,140.41,139.5,141.43,137.49,97268373.0
AAPL,2022-11-09 05:00:00+00:00,138.5,134.87,138.55,134.5933,84442456.0
AAPL,2022-11-10 05:00:00+00:00,141.24,146.87,146.87,139.5,136303919.0
AAPL,2022-11-11 05:00:00+00:00,145.82,149.7,150.01,144.37,103060509.0
AAPL,2022-11-14 05:00:00+00:00,148.97,148.28,150.28,147.43,80885473.0
AAPL,2022-11-15 05:00:00+00:00,152.215,150.04,153.59,148.5613,96306279.0
AAPL,2022-11-16 05:00:00+00:00,149.13,148.79,149.87,147.29,71463063.0
AAPL,2022-11-17 05:00:00+00:00,146.43,150.72,151.48,146.15,86649104.0
AAPL,2022-11-18 05:00:00+00:00,152.305,151.29,152.7,149.97,84106843.0
AAPL,2022-11-21 05:00:00+00:00,150.16,148.01,150.37,147.715,64466896.0
AAPL,2022-11-22 05:00:00+00:00,148.13,150.18,150.42,146.925,58685320.0
AAPL,2022-11-23 05:00:00+00:00,149.45,151.07,151.83,149.34,62774756.0
AAPL,2022-11-25 05:00:00+00:00,148.305,148.11,148.88,147.12,38776713.0
AAPL,2022-11-28 05:00:00+00:00,145.14,144.22,146.64,143.38,78281391.0
AAPL,2022-11-29 05:00:00+00:00,144.29,141.17,144.81,140.355,89801206.0
AAPL,2022-11-30 05:00:00+00:00,141.395,148.03,148.72,140.55,131183862.0
AAPL,2022-12-01 05:00:00+00:00,148.21,148.31,149.13,146.61,78588359.0
AAPL,2022-12-02 05:00:00+00:00,145.96,147.81,148.0,145.65,75015411.0
AAPL,2022-12-05 05:00:00+00:00,147.77,146.63,150.9199,145.77,74981324.0
AAPL,2022-12-06 05:00:00+00:00,147.075,142.91,147.3,141.92,72151911.0
AAPL,2022-12-07 05:00:00+00:00,142.19,140.94,143.37,140.0,77308359.0
AAPL,2022-12-08 05:00:00+00:00,142.36,142.65,143.52,141.1,68832111.0
AAPL,2022-12-09 05:00:00+00:00,142.34,142.16,145.57,140.9,84840144.0
AAPL,2022-12-12 05:00:00+00:00,142.7,144.49,144.5,141.06,78289096.0
AAPL,2022-12-13 05:00:00+00:00,149.5,145.47,149.9692,144.24,102204603.0
AAPL,2022-12-14 05:00:00+00:00,145.35,143.21,146.655,141.16,89974435.0
AAPL,2022-12-15 05:00:00+00:00,141.11,136.5,141.8,136.025,110421981.0
AAPL,2022-12-16 05:00:00+00:00,136.685,134.51,137.65,133.73,220048084.0
AAPL,2022-12-19 05:00:00+00:00,135.11,132.37,135.2,131.32,87427188.0
AAPL,2022-12-20 05:00:00+00:00,131.39,132.3,133.25,129.89,83636668.0
AAPL,2022-12-21 05:00:00+00:00,132.98,135.45,136.81,132.75,95563192.0
AAPL,2022-12-22 05:00:00+00:00,134.352,132.23,134.56,130.3,86659361.0
AAPL,2022-12-23 05:00:00+00:00,130.92,131.86,132.415,129.64,67631560.0
AAPL,2022-12-27 05:00:00+00:00,131.38,130.03,131.41,128.72,74304546.0
AAPL,2022-12-28 05:00:00+00:00,129.67,126.04,131.0275,125.87,90551969.0
